date,last,bid,ask
11/16/2022,3973.63,3971.18,3973.64
11/15/2022,3991.73,3956.06,4016.41
11/14/2022,3957.25,3907.96,4033.33
11/11/2022,3992.93,3967.73,4010.61
11/10/2022,3956.37,3900.75,4029.45
11/9/2022,3748.57,3690.74,3835.14
11/8/2022,3828.11,3761.68,3902.43
11/7/2022,3806.8,3763.32,3851.99
11/4/2022,3770.55,3734.23,3803.17
11/3/2022,3719.89,3663.28,3801.64
11/2/2022,3759.69,3710.21,3842.39
11/1/2022,3856.1,3817.08,3897.56
10/31/2022,3871.98,3826.12,3924.22
10/28/2022,3901.06,3870.29,3969.67
10/27/2022,3807.3,3710.77,3844.7
10/26/2022,3830.6,3774.1,3894.17
10/25/2022,3859.11,3780.45,3890.44
10/24/2022,3797.34,3734.3,3841.3
10/21/2022,3752.75,3701.13,3809.52
10/20/2022,3665.78,3613.82,3710.58
10/19/2022,3695.16,3641.81,3753.32
10/18/2022,3719.98,3703.76,3794.92
10/17/2022,3677.95,3666.35,3713.15
10/14/2022,3583.07,3561.15,3600.11
10/13/2022,3669.91,3617.47,3717
10/12/2022,3577.03,3551.18,3616.61
10/11/2022,3588.84,3555.17,3644.29
10/10/2022,3612.39,3585.46,3642.24
10/7/2022,3639.66,3605.19,3675.97
10/6/2022,3744.52,3671.49,3761.61
10/5/2022,3783.28,3737.54,3831.75
10/4/2022,3790.93,3750.76,3834.16
10/3/2022,3678.43,3628.97,3729.57
9/30/2022,3585.62,3560.47,3614.17
9/29/2022,3640.47,3586.8,3692.63
9/28/2022,3719.04,3666.54,3766.94
9/27/2022,3647.29,3623.72,3680.01
9/26/2022,3655.04,3628.06,3676.01
9/23/2022,3693.23,3677.66,3717.6
9/22/2022,3757.99,3724.15,3804.58
9/21/2022,3789.93,3756.46,3804.82
9/20/2022,3855.93,3839.97,3898.95
9/19/2022,3899.89,3883.68,3947.42
9/16/2022,3873.33,3861.52,3901.05
9/15/2022,3901.35,3849.21,3908.73
9/14/2022,3946.01,3924.35,3999.55
9/13/2022,3932.69,3899.56,3962.39
9/12/2022,4110.41,4094.49,4139.03
9/9/2022,4067.36,4023.61,4101.73
9/8/2022,4006.18,3987.43,4034.06
9/7/2022,3979.87,3963.69,4002.24
9/6/2022,3908.19,3891.85,3932.01
9/2/2022,3924.26,3907.82,3966.16
9/1/2022,3966.85,3951.36,4015.36
8/31/2022,3955,3934.32,3993.5
8/30/2022,3986.16,3970.43,4009.67
8/29/2022,4030.61,4015.95,4057.9
8/26/2022,4057.66,4017.12,4095.84
8/25/2022,4199.12,4174.09,4223.69
8/24/2022,4140.77,4112.01,4177.75
8/23/2022,4128.73,4104.06,4153.45
8/22/2022,4137.99,4123.03,4166.04
8/19/2022,4228.48,4210.2,4239.4
8/18/2022,4283.74,4264.25,4302.98
8/17/2022,4274.04,4247.71,4296.89
8/16/2022,4305.2,4266.74,4342.02
8/15/2022,4297.14,4249.85,4335.72
8/12/2022,4280.15,4234.54,4307.06
8/11/2022,4207.27,4188.91,4238.64
8/10/2022,4210.24,4168.35,4239.4
8/9/2022,4122.47,4103.05,4147.66
8/8/2022,4140.06,4107.74,4185.18
8/5/2022,4145.19,4100.62,4176.35
8/4/2022,4151.94,4106.45,4189.16
8/3/2022,4155.17,4104.4,4193.94
8/2/2022,4091.19,4049,4140.19
8/1/2022,4118.63,4076.3,4158.53
7/29/2022,4130.29,4086.15,4162.67
7/28/2022,4072.43,4049.48,4162.98
7/27/2022,4023.61,3967.16,4068.77
7/26/2022,3921.05,3893.88,3978.13
7/25/2022,3966.84,3905.4,3993
7/22/2022,3961.63,3928.74,3994.64
7/21/2022,3998.95,3930.07,4026.22
7/20/2022,3959.9,3901.33,3996.76
7/19/2022,3936.69,3911.1,3991.57
7/18/2022,3830.85,3798.38,3876.82
7/15/2022,3863.16,3825.08,3891.8
7/14/2022,3790.38,3773.94,3825.1
7/13/2022,3801.78,3768.82,3821.64
7/12/2022,3818.8,3784.3,3859.86
7/11/2022,3854.43,3832.62,3879.67
7/8/2022,3899.38,3885.27,3929.48
7/7/2022,3902.62,3861.41,3932.8
7/6/2022,3845.08,3814.08,3884.11
7/5/2022,3831.39,3805.53,3871.5
