strike,type,price_type,date,price
3700,call,ask,11/16/2022,477.9
3700,call,ask,11/15/2022,493.2
3700,call,ask,11/14/2022,474.8
3700,call,ask,11/11/2022,498.1
3700,call,ask,11/10/2022,476.6
3700,call,ask,11/9/2022,358.7
3700,call,ask,11/8/2022,379.7
3700,call,ask,11/7/2022,362.8
3700,call,ask,11/4/2022,339.1
3700,call,ask,11/3/2022,312.8
3700,call,ask,11/2/2022,345.8
3700,call,ask,11/1/2022,402.7
3700,call,ask,10/31/2022,420.3
3700,call,ask,10/28/2022,451.4
3700,call,ask,10/27/2022,364.9
3700,call,ask,10/26/2022,409.6
3700,call,ask,10/25/2022,414.5
3700,call,ask,10/24/2022,386.9
3700,call,ask,10/21/2022,365.6
3700,call,ask,10/20/2022,316.5
3700,call,ask,10/19/2022,328.4
3700,call,ask,10/18/2022,362.6
3700,call,ask,10/17/2022,323.1
3700,call,ask,10/14/2022,264.8
3700,call,ask,10/13/2022,312.7
3700,call,ask,10/12/2022,262.7
3700,call,ask,10/11/2022,274.8
3700,call,ask,10/10/2022,282.9
3700,call,ask,10/7/2022,301.6
3700,call,ask,10/6/2022,352.9
3700,call,ask,10/5/2022,378.3
3700,call,ask,10/4/2022,383.1
3700,call,ask,10/3/2022,314.4
3700,call,ask,9/30/2022,268
3700,call,ask,9/29/2022,313
3700,call,ask,9/28/2022,344
3700,call,ask,9/27/2022,310.1
3700,call,ask,9/26/2022,312.8
3700,call,ask,9/23/2022,333.5
3700,call,ask,9/22/2022,365.9
3700,call,ask,9/21/2022,386.9
3700,call,ask,9/20/2022,439.7
3700,call,ask,9/19/2022,467.8
3700,call,ask,9/16/2022,
3700,call,ask,9/15/2022,466.4
3700,call,ask,9/14/2022,509.8
3700,call,ask,9/13/2022,499.7
3700,call,ask,9/12/2022,626.6
3700,call,ask,9/9/2022,587
3700,call,ask,9/8/2022,543.9
3700,call,ask,9/7/2022,523.8
3700,call,ask,9/6/2022,477.9
3700,call,ask,9/2/2022,492.7
3700,call,ask,9/1/2022,522.2
3700,call,ask,8/31/2022,519.1
3700,call,ask,8/30/2022,540.1
3700,call,ask,8/29/2022,577.1
3700,call,ask,8/26/2022,617
3700,call,ask,8/25/2022,697.1
3700,call,ask,8/24/2022,662.8
3700,call,ask,8/23/2022,650
3700,call,ask,8/22/2022,668.2
3700,call,ask,8/19/2022,728.6
3700,call,ask,8/18/2022,775.4
3700,call,ask,8/17/2022,772.6
3700,call,ask,8/16/2022,793.1
3700,call,ask,8/15/2022,780.4
3700,call,ask,8/12/2022,771.8
3700,call,ask,8/11/2022,721.8
3700,call,ask,8/10/2022,716.7
3700,call,ask,8/9/2022,655.1
3700,call,ask,8/8/2022,671.8
3700,call,ask,8/5/2022,665.1
3700,call,ask,8/4/2022,670.1
3700,call,ask,8/3/2022,672.9
3700,call,ask,8/2/2022,630.9
3700,call,ask,8/1/2022,653.8
3700,call,ask,7/29/2022,651.3
3700,call,ask,7/28/2022,631.6
3700,call,ask,7/27/2022,572.3
3700,call,ask,7/26/2022,515.6
3700,call,ask,7/25/2022,530.8
3700,call,ask,7/22/2022,534.3
3700,call,ask,7/21/2022,556.8
3700,call,ask,7/20/2022,540.5
3700,call,ask,7/19/2022,
3700,call,ask,7/18/2022,453.2
3700,call,ask,7/15/2022,472.7
3700,call,ask,7/14/2022,428
3700,call,ask,7/13/2022,
3700,call,ask,7/12/2022,444.9
3700,call,ask,7/11/2022,469.7
3700,call,ask,7/8/2022,499.9
3700,call,ask,7/7/2022,496.4
3700,call,ask,7/6/2022,465.2
3700,call,ask,7/5/2022,465.1
3700,call,ask,7/1/2022,446.3
3700,call,ask,6/30/2022,423.3
3700,call,ask,6/29/2022,449
3700,call,ask,6/28/2022,452.7
3700,call,ask,6/27/2022,507.1
3700,call,ask,6/24/2022,522.5
3700,call,ask,6/23/2022,426.3
3700,call,ask,6/22/2022,410
3700,call,ask,6/21/2022,421.7
3700,call,ask,6/17/2022,370.6
3700,call,ask,6/16/2022,374.7
3700,call,ask,6/15/2022,438.7
3700,call,ask,6/14/2022,418.9
3700,call,ask,6/13/2022,437.1
3700,call,ask,6/10/2022,521.6
3700,call,ask,6/9/2022,
3700,call,ask,6/8/2022,667.3
3700,call,ask,6/7/2022,695
3700,call,ask,6/6/2022,673.7
3700,call,ask,6/3/2022,665.1
3700,call,ask,6/2/2022,721
3700,call,ask,6/1/2022,658.6
3700,call,ask,5/31/2022,685.3
3700,call,ask,5/27/2022,714.3
3700,call,ask,5/26/2022,626.3
3700,call,ask,5/25/2022,569.6
3700,call,ask,5/24/2022,557.8
3700,call,ask,5/23/2022,581.6
3700,call,ask,5/20/2022,
3700,call,ask,5/19/2022,524.4
3700,call,ask,5/18/2022,547.4
3700,call,ask,5/17/2022,
3700,call,ask,5/16/2022,
3700,call,ask,5/13/2022,
3700,call,ask,5/12/2022,545.4
3700,call,ask,5/11/2022,577.6
3700,call,ask,5/10/2022,608
3700,call,ask,5/9/2022,611.7
3700,call,ask,5/6/2022,696.9
3700,call,ask,5/5/2022,726.6
3700,call,ask,5/4/2022,820.6
3700,call,ask,5/3/2022,741.2
3700,call,ask,5/2/2022,725.1
3700,call,ask,4/29/2022,
3700,call,ask,4/28/2022,814.1
3700,call,ask,4/27/2022,776.6
3700,call,ask,4/26/2022,729
3700,call,ask,4/25/2022,839.7
3700,call,ask,4/22/2022,816.5
3700,call,ask,4/21/2022,912.2
3700,call,ask,4/20/2022,984
3700,call,ask,4/19/2022,946.2
3700,call,ask,4/18/2022,920
3700,call,ask,4/14/2022,1001.9
3725,call,ask,11/16/2022,460.1
3725,call,ask,11/15/2022,475
3725,call,ask,11/14/2022,457.1
3725,call,ask,11/11/2022,480.2
3725,call,ask,11/10/2022,459.1
3725,call,ask,11/9/2022,344.5
3725,call,ask,11/8/2022,366.2
3725,call,ask,11/7/2022,347.3
3725,call,ask,11/4/2022,324.1
3725,call,ask,11/3/2022,298.5
3725,call,ask,11/2/2022,330.8
3725,call,ask,11/1/2022,386.6
3725,call,ask,10/31/2022,403.9
3725,call,ask,10/28/2022,435
3725,call,ask,10/27/2022,348.9
3725,call,ask,10/26/2022,393.8
3725,call,ask,10/25/2022,398.7
3725,call,ask,10/24/2022,371.8
3725,call,ask,10/21/2022,350.8
3725,call,ask,10/20/2022,292.1
3725,call,ask,10/19/2022,315
3725,call,ask,10/18/2022,341.7
3725,call,ask,10/17/2022,309.6
3725,call,ask,10/14/2022,252.3
3725,call,ask,10/13/2022,299
3725,call,ask,10/12/2022,250.2
3725,call,ask,10/11/2022,261.3
3725,call,ask,10/10/2022,269.7
3725,call,ask,10/7/2022,288.6
3725,call,ask,10/6/2022,338.1
3725,call,ask,10/5/2022,362.9
3725,call,ask,10/4/2022,367.7
3725,call,ask,10/3/2022,300.2
3725,call,ask,9/30/2022,255
3725,call,ask,9/29/2022,289
3725,call,ask,9/28/2022,329.4
3725,call,ask,9/27/2022,296.4
3725,call,ask,9/26/2022,299.2
3725,call,ask,9/23/2022,319.5
3725,call,ask,9/22/2022,351.1
3725,call,ask,9/21/2022,371.6
3725,call,ask,9/20/2022,424.5
3725,call,ask,9/19/2022,451.2
3725,call,ask,9/16/2022,
3725,call,ask,9/15/2022,449.9
3725,call,ask,9/14/2022,492.7
3725,call,ask,9/13/2022,482.8
3725,call,ask,9/12/2022,607.9
3725,call,ask,9/9/2022,568.7
3725,call,ask,9/8/2022,526.3
3725,call,ask,9/7/2022,506.5
3725,call,ask,9/6/2022,461.3
3725,call,ask,9/2/2022,475.8
3725,call,ask,9/1/2022,505
3725,call,ask,8/31/2022,502
3725,call,ask,8/30/2022,522.7
3725,call,ask,8/29/2022,559.3
3725,call,ask,8/26/2022,599.5
3725,call,ask,8/25/2022,678
3725,call,ask,8/24/2022,644.1
3725,call,ask,8/23/2022,631.5
3725,call,ask,8/22/2022,649.5
3725,call,ask,8/19/2022,709.3
3725,call,ask,8/18/2022,755.6
3725,call,ask,8/17/2022,752.9
3725,call,ask,8/16/2022,773.3
3725,call,ask,8/15/2022,760.7
3725,call,ask,8/12/2022,752
3725,call,ask,8/11/2022,702.5
3725,call,ask,8/10/2022,697.5
3725,call,ask,8/9/2022,636.6
3725,call,ask,8/8/2022,653.1
3725,call,ask,8/5/2022,646.5
3725,call,ask,8/4/2022,651.4
3725,call,ask,8/3/2022,654.1
3725,call,ask,8/2/2022,612.5
3725,call,ask,8/1/2022,645.8
3725,call,ask,7/29/2022,632.8
3725,call,ask,7/28/2022,613.1
3725,call,ask,7/27/2022,554.6
3725,call,ask,7/26/2022,498.7
3725,call,ask,7/25/2022,513.4
3725,call,ask,7/22/2022,517.2
3725,call,ask,7/21/2022,539.4
3725,call,ask,7/20/2022,523.5
3725,call,ask,7/19/2022,
3725,call,ask,7/18/2022,437.2
3725,call,ask,7/15/2022,456.4
3725,call,ask,7/14/2022,413.4
3725,call,ask,7/13/2022,
3725,call,ask,7/12/2022,429.5
3725,call,ask,7/11/2022,454.5
3725,call,ask,7/8/2022,484.4
3725,call,ask,7/7/2022,480.1
3725,call,ask,7/6/2022,449.3
3725,call,ask,7/5/2022,455.6
3725,call,ask,7/1/2022,430.7
3725,call,ask,6/30/2022,408.9
3725,call,ask,6/29/2022,433.5
3725,call,ask,6/28/2022,437.1
3725,call,ask,6/27/2022,490.8
3725,call,ask,6/24/2022,506.1
3725,call,ask,6/23/2022,411.3
3725,call,ask,6/22/2022,395.2
3725,call,ask,6/21/2022,406.7
3725,call,ask,6/17/2022,357.1
3725,call,ask,6/16/2022,361.1
3725,call,ask,6/15/2022,423.6
3725,call,ask,6/14/2022,404.2
3725,call,ask,6/13/2022,422.5
3725,call,ask,6/10/2022,505.5
3725,call,ask,6/9/2022,
3725,call,ask,6/8/2022,649.4
3725,call,ask,6/7/2022,677
3725,call,ask,6/6/2022,654.7
3725,call,ask,6/3/2022,647.3
3725,call,ask,6/2/2022,702.7
3725,call,ask,6/1/2022,640.9
3725,call,ask,5/31/2022,681.8
3725,call,ask,5/27/2022,696.2
3725,call,ask,5/26/2022,608.9
3725,call,ask,5/25/2022,553
3725,call,ask,5/24/2022,541.4
3725,call,ask,5/23/2022,564.8
3725,call,ask,5/20/2022,
3725,call,ask,5/19/2022,508.6
3725,call,ask,5/18/2022,531.3
3725,call,ask,5/17/2022,647.5
3725,call,ask,5/16/2022,583.6
3725,call,ask,5/13/2022,
3725,call,ask,5/12/2022,529.4
3725,call,ask,5/11/2022,561.5
3725,call,ask,5/10/2022,591.2
3725,call,ask,5/9/2022,595
3725,call,ask,5/6/2022,679.4
3725,call,ask,5/5/2022,709.1
3725,call,ask,5/4/2022,801.5
3725,call,ask,5/3/2022,723.1
3725,call,ask,5/2/2022,707.5
3725,call,ask,4/29/2022,
3725,call,ask,4/28/2022,795.5
3725,call,ask,4/27/2022,758.4
3725,call,ask,4/26/2022,711.4
3725,call,ask,4/25/2022,821.1
3725,call,ask,4/22/2022,796.5
3725,call,ask,4/21/2022,893.1
3725,call,ask,4/20/2022,950.2
3725,call,ask,4/19/2022,926.7
3725,call,ask,4/18/2022,900.6
3725,call,ask,4/14/2022,982.8
3750,call,ask,11/16/2022,442.5
3750,call,ask,11/15/2022,457.2
3750,call,ask,11/14/2022,439.6
3750,call,ask,11/11/2022,457.9
3750,call,ask,11/10/2022,441.9
3750,call,ask,11/9/2022,316
3750,call,ask,11/8/2022,350.8
3750,call,ask,11/7/2022,332.1
3750,call,ask,11/4/2022,309.2
3750,call,ask,11/3/2022,284.5
3750,call,ask,11/2/2022,316
3750,call,ask,11/1/2022,370.8
3750,call,ask,10/31/2022,387.9
3750,call,ask,10/28/2022,418.2
3750,call,ask,10/27/2022,334.1
3750,call,ask,10/26/2022,378.2
3750,call,ask,10/25/2022,383.2
3750,call,ask,10/24/2022,357
3750,call,ask,10/21/2022,336.4
3750,call,ask,10/20/2022,290.7
3750,call,ask,10/19/2022,300.3
3750,call,ask,10/18/2022,333.8
3750,call,ask,10/17/2022,296.1
3750,call,ask,10/14/2022,240.1
3750,call,ask,10/13/2022,285.6
3750,call,ask,10/12/2022,238
3750,call,ask,10/11/2022,249.1
3750,call,ask,10/10/2022,256.9
3750,call,ask,10/7/2022,268.3
3750,call,ask,10/6/2022,323.5
3750,call,ask,10/5/2022,347.8
3750,call,ask,10/4/2022,352.5
3750,call,ask,10/3/2022,286.3
3750,call,ask,9/30/2022,242.3
3750,call,ask,9/29/2022,286.2
3750,call,ask,9/28/2022,315.1
3750,call,ask,9/27/2022,283
3750,call,ask,9/26/2022,285.9
3750,call,ask,9/23/2022,305.6
3750,call,ask,9/22/2022,336.4
3750,call,ask,9/21/2022,356.8
3750,call,ask,9/20/2022,407.9
3750,call,ask,9/19/2022,434.8
3750,call,ask,9/16/2022,
3750,call,ask,9/15/2022,433.1
3750,call,ask,9/14/2022,475.8
3750,call,ask,9/13/2022,466.1
3750,call,ask,9/12/2022,589.5
3750,call,ask,9/9/2022,550.7
3750,call,ask,9/8/2022,508.8
3750,call,ask,9/7/2022,489.3
3750,call,ask,9/6/2022,444.8
3750,call,ask,9/2/2022,459.1
3750,call,ask,9/1/2022,487.9
3750,call,ask,8/31/2022,485
3750,call,ask,8/30/2022,505.6
3750,call,ask,8/29/2022,541.7
3750,call,ask,8/26/2022,582
3750,call,ask,8/25/2022,659
3750,call,ask,8/24/2022,625.5
3750,call,ask,8/23/2022,613.1
3750,call,ask,8/22/2022,630
3750,call,ask,8/19/2022,690.1
3750,call,ask,8/18/2022,736
3750,call,ask,8/17/2022,733.3
3750,call,ask,8/16/2022,753.6
3750,call,ask,8/15/2022,741.2
3750,call,ask,8/12/2022,732.5
3750,call,ask,8/11/2022,683.4
3750,call,ask,8/10/2022,678.4
3750,call,ask,8/9/2022,618.2
3750,call,ask,8/8/2022,634.6
3750,call,ask,8/5/2022,628
3750,call,ask,8/4/2022,632.8
3750,call,ask,8/3/2022,635.5
3750,call,ask,8/2/2022,594.6
3750,call,ask,8/1/2022,617.3
3750,call,ask,7/29/2022,614.5
3750,call,ask,7/28/2022,594.9
3750,call,ask,7/27/2022,537.1
3750,call,ask,7/26/2022,482
3750,call,ask,7/25/2022,496.9
3750,call,ask,7/22/2022,500.3
3750,call,ask,7/21/2022,522.2
3750,call,ask,7/20/2022,506.6
3750,call,ask,7/19/2022,
3750,call,ask,7/18/2022,421.4
3750,call,ask,7/15/2022,440.4
3750,call,ask,7/14/2022,397.1
3750,call,ask,7/13/2022,
3750,call,ask,7/12/2022,414
3750,call,ask,7/11/2022,438.7
3750,call,ask,7/8/2022,468
3750,call,ask,7/7/2022,463.9
3750,call,ask,7/6/2022,433.6
3750,call,ask,7/5/2022,433.9
3750,call,ask,7/1/2022,415.3
3750,call,ask,6/30/2022,393.3
3750,call,ask,6/29/2022,418.2
3750,call,ask,6/28/2022,421.7
3750,call,ask,6/27/2022,474.6
3750,call,ask,6/24/2022,489.8
3750,call,ask,6/23/2022,396.5
3750,call,ask,6/22/2022,380.6
3750,call,ask,6/21/2022,392.1
3750,call,ask,6/17/2022,343
3750,call,ask,6/16/2022,347.1
3750,call,ask,6/15/2022,408.7
3750,call,ask,6/14/2022,389.8
3750,call,ask,6/13/2022,408.1
3750,call,ask,6/10/2022,489.6
3750,call,ask,6/9/2022,
3750,call,ask,6/8/2022,631.8
3750,call,ask,6/7/2022,659.1
3750,call,ask,6/6/2022,637
3750,call,ask,6/3/2022,629.7
3750,call,ask,6/2/2022,684.6
3750,call,ask,6/1/2022,623.4
3750,call,ask,5/31/2022,649.8
3750,call,ask,5/27/2022,678.1
3750,call,ask,5/26/2022,591.8
3750,call,ask,5/25/2022,536.5
3750,call,ask,5/24/2022,525.1
3750,call,ask,5/23/2022,548.3
3750,call,ask,5/20/2022,
3750,call,ask,5/19/2022,492.4
3750,call,ask,5/18/2022,515.4
3750,call,ask,5/17/2022,630.2
3750,call,ask,5/16/2022,
3750,call,ask,5/13/2022,
3750,call,ask,5/12/2022,513.6
3750,call,ask,5/11/2022,545.3
3750,call,ask,5/10/2022,575.2
3750,call,ask,5/9/2022,578.6
3750,call,ask,5/6/2022,662
3750,call,ask,5/5/2022,691.2
3750,call,ask,5/4/2022,782.9
3750,call,ask,5/3/2022,705.2
3750,call,ask,5/2/2022,689.9
3750,call,ask,4/29/2022,
3750,call,ask,4/28/2022,777.1
3750,call,ask,4/27/2022,740.5
3750,call,ask,4/26/2022,694
3750,call,ask,4/25/2022,802.5
3750,call,ask,4/22/2022,778.3
3750,call,ask,4/21/2022,874
3750,call,ask,4/20/2022,944.5
3750,call,ask,4/19/2022,907.3
3750,call,ask,4/18/2022,881.5
3750,call,ask,4/14/2022,963.7
3775,call,ask,11/16/2022,425.2
3775,call,ask,11/15/2022,439.6
3775,call,ask,11/14/2022,422.3
3775,call,ask,11/11/2022,440.5
3775,call,ask,11/10/2022,424.9
3775,call,ask,11/9/2022,301.7
3775,call,ask,11/8/2022,333.3
3775,call,ask,11/7/2022,317.3
3775,call,ask,11/4/2022,295.1
3775,call,ask,11/3/2022,270.9
3775,call,ask,11/2/2022,299.9
3775,call,ask,11/1/2022,355.3
3775,call,ask,10/31/2022,372.1
3775,call,ask,10/28/2022,402.2
3775,call,ask,10/27/2022,319.6
3775,call,ask,10/26/2022,362.2
3775,call,ask,10/25/2022,367.9
